Cities,Country,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
paungde,MM,18.48,95.5,78,67,90.48,2.75
cherskiy,RU,68.75,161.3,80,69,41.56,13.49
umba,RU,66.69,34.34,100,70,45.21,12.5
moree,AU,-29.47,149.85,31,23,84.2,10.29
amderma, ,0.0,0.0,0,0,0.0,0.0
ayacucho,PE,-13.16,-74.22,65,53,57.96,1.41
padang,ID,-0.95,100.35,60,69,83.77,6.38
lebu,CL,-37.62,-73.65,81,89,50.77,2.68
port alfred,ZA,-33.59,26.89,15,68,60.3,16.33
atuona,PF,-9.8,-139.03,10,76,78.49,20.45
westport,US,41.14,-73.36,1,64,69.8,13.87
tukrah,LY,32.53,20.58,22,71,76.71,5.39
dwarahat,IN,29.78,79.43,12,65,79.79,4.18
barinitas,VE,8.76,-70.41,85,78,68.94,3.98
geraldton,AU,-28.77,114.6,0,28,73.4,16.11
logansport,US,40.75,-86.36,40,87,63.0,5.19
bolshegrivskoye, ,0.0,0.0,0,0,0.0,0.0
mukhtolovo,RU,55.46,43.2,78,74,50.47,9.46
cidreira,BR,-30.18,-50.21,100,97,62.08,1.63
para de minas,BR,-19.86,-44.61,0,63,66.2,2.24
saint-joseph,RE,-21.37,55.62,14,50,75.2,9.17
yellowknife,CA,62.46,-114.35,20,80,33.8,4.7
wuwei,CN,37.93,102.64,0,18,73.72,7.23
tuatapere,NZ,-46.13,167.68,98,70,46.0,14.0
arraial do cabo,BR,-22.97,-42.03,20,84,70.84,23.76
key largo,US,25.09,-80.45,86,73,82.99,1.01
torbay,CA,47.67,-52.73,90,61,52.0,16.11
nicoya,CR,10.15,-85.45,90,92,74.35,1.68
mecca,SA,21.43,39.83,0,7,106.16,19.93
monster,NL,52.03,4.17,0,91,57.99,1.01
sioux lookout,CA,50.1,-91.92,90,52,41.0,14.99
east london,ZA,-33.02,27.91,9,62,59.0,10.29
wasilla,US,61.58,-149.44,1,62,55.4,9.17
cayenne,GF,4.93,-52.33,78,100,75.2,1.12
baruun-urt,MN,46.68,113.28,82,41,59.22,14.03
grand river south east, ,0.0,0.0,0,0,0.0,0.0
pierre,US,44.37,-100.35,1,75,46.4,5.82
contamana,PE,-7.33,-75.02,61,72,73.58,1.57
richards bay,ZA,-28.78,32.04,48,68,68.32,11.81
tabou,CI,4.42,-7.35,97,90,74.46,12.5
tiksi,RU,71.69,128.87,97,78,48.88,15.28
puerto colombia,CO,10.99,-74.95,95,76,80.44,1.1
linguere,SN,15.4,-15.12,24,84,78.53,11.05
yangmei,CN,24.1,112.56,84,78,83.41,3.06
teguldet,RU,57.31,88.17,100,80,61.02,4.45
santa maria,BR,-29.68,-53.81,98,96,60.53,2.24
port hardy,CA,50.7,-127.42,90,100,60.8,2.24
hualmay,PE,-11.1,-77.61,43,85,59.36,4.34
carutapera,BR,-1.2,-46.02,15,87,77.07,6.91
nageshwari,BD,25.94,89.71,100,82,83.71,6.78
yerbogachen,RU,61.28,108.01,0,48,61.41,3.06
bambous virieux,MU,-20.34,57.76,75,68,73.0,17.22
poum,NC,-20.23,164.02,66,82,72.68,10.36
tlacotepec,MX,20.07,-97.87,99,90,64.4,2.19
alice town,BS,25.72,-79.3,82,77,83.12,13.6
carnarvon,AU,-24.87,113.63,0,16,86.0,11.41
chicama,PE,-7.84,-79.15,46,86,60.19,4.61
coaraci,BR,-14.64,-39.55,23,96,62.19,1.61
buta,CD,2.79,24.73,100,98,70.86,1.05
berea,US,41.37,-81.85,1,82,64.0,6.93
pita,GN,10.83,-12.58,100,88,70.34,1.16
buckeye,US,33.37,-112.58,1,14,91.0,9.17
golfito,CR,8.64,-83.17,85,88,74.53,1.7
grindavik,IS,63.84,-22.43,75,93,48.2,16.11
aksarka,RU,66.56,67.8,97,83,50.14,18.01
victoria,HK,22.29,114.16,95,81,89.01,1.99
aitape,PG,-3.14,142.35,96,72,83.03,1.45
klaksvik,FO,62.23,-6.59,100,100,51.8,11.41
port blair,IN,11.67,92.75,100,77,83.32,17.18
champasak,LA,14.75,106.0,75,74,87.8,6.93
la ronge,CA,55.1,-105.28,75,86,33.8,2.24
half moon bay,US,37.46,-122.43,90,100,68.0,4.7
rock springs,US,41.59,-109.2,1,21,60.8,6.93
kifri,IQ,34.7,44.97,0,9,97.61,2.24
vestmannaeyjar,IS,63.44,-20.27,100,82,50.61,18.86
maningrida,AU,-12.07,134.27,10,52,87.15,13.42
igra,RU,57.56,53.05,86,72,46.83,10.96
faanui,PF,-16.48,-151.75,4,76,78.84,15.9
puerto escondido,MX,15.85,-97.07,100,76,79.99,3.2
koppal,IN,15.35,76.15,56,72,81.63,11.97
kununurra,AU,-15.77,128.73,19,27,98.6,13.87
okhotsk,RU,59.38,143.3,24,56,56.1,4.63
dorogobuzh,RU,54.91,33.3,100,86,60.87,13.78
bilibino,RU,68.05,166.44,100,87,38.03,3.51
yar-sale,RU,66.83,70.83,91,79,51.76,14.2
cabo san lucas,MX,22.89,-109.91,97,81,84.0,7.58
sao filipe,CV,14.9,-24.5,69,82,80.26,4.68
xiaoweizhai,CN,26.19,107.51,100,93,61.23,6.02
pinalejo,HN,15.38,-88.4,67,85,78.01,1.43
nantucket,US,41.28,-70.1,75,88,66.99,9.17
escanaba,US,45.75,-87.06,1,87,46.4,4.7
muli,MV,2.92,73.57,62,78,82.69,11.05
lumby,CA,50.25,-118.97,23,76,63.0,2.68
machilipatnam,IN,16.17,81.13,75,79,86.0,5.82
shache,CN,38.42,77.24,39,15,81.61,5.21
chuy,UY,-33.7,-53.46,6,96,50.72,6.93
brae,GB,60.4,-1.35,75,81,50.0,13.87
ahuimanu,US,21.44,-157.84,20,61,80.6,6.93
ibirama,BR,-27.06,-49.52,100,95,64.99,1.86
vanavara,RU,60.34,102.28,1,44,61.92,7.11
kaniama,CD,-7.57,24.18,71,67,76.33,2.75
palabuhanratu, ,0.0,0.0,0,0,0.0,0.0
ust-nera,RU,64.57,143.2,57,50,48.45,2.64
samarai,PG,-10.62,150.67,82,87,80.01,17.02
komsomolskiy,UZ,40.43,71.72,0,22,78.8,11.41
teya,RU,60.38,92.63,100,54,62.65,9.37
dunedin,NZ,-45.87,170.5,100,83,44.01,1.99
bengkulu,ID,-3.8,102.27,29,68,84.18,11.86
nyurba,RU,63.28,118.33,0,52,58.75,4.92
flinders,AU,-34.58,150.86,76,76,68.0,11.01
veraval,IN,20.9,70.37,97,69,84.94,9.6
provideniya,RU,64.38,-173.3,90,87,46.4,4.47
uwayl, ,0.0,0.0,0,0,0.0,0.0
lodwar,KE,3.12,35.6,0,43,84.49,15.93
ornskoldsvik,SE,63.29,18.72,19,70,44.6,18.34
souillac,MU,-20.52,57.52,75,68,71.6,17.22
attawapiskat, ,0.0,0.0,0,0,0.0,0.0
sorong,ID,-0.88,131.25,46,76,82.06,5.73
matara,LK,5.95,80.54,29,78,82.92,12.62
kazalinsk, ,0.0,0.0,0,0,0.0,0.0
tela,HN,15.78,-87.45,52,85,78.01,3.53
tyukalinsk,RU,55.87,72.2,88,54,53.58,15.66
sao gabriel da cachoeira,BR,-0.13,-67.09,62,97,70.97,1.92
bathsheba,BB,13.22,-59.52,20,83,78.8,6.93
kieta,PG,-6.22,155.63,89,78,83.52,7.45
hamilton,US,39.18,-84.53,75,100,61.0,1.57
miandrivazo,MG,-19.52,45.47,98,60,78.31,7.54
bandarbeyla,SO,9.49,50.81,0,53,85.44,26.04
yumen,CN,40.28,97.2,0,15,77.16,10.94
terme,TR,41.21,36.97,75,82,66.2,2.24
ostrovnoy,RU,68.05,39.51,97,74,44.35,3.0
talawdi, ,0.0,0.0,0,0,0.0,0.0
ixtapa,MX,20.7,-105.2,75,94,79.0,1.92
batagay-alyta,RU,67.8,130.41,50,47,50.95,2.35
ahipara,NZ,-35.17,173.17,5,82,56.53,5.84
mount isa,AU,-20.73,139.5,0,14,93.2,13.87
alice springs,AU,-23.7,133.88,40,11,91.4,11.41
nizhniy ingash,RU,56.2,96.53,99,58,66.09,6.35
shingu,JP,33.73,135.98,75,94,80.6,10.29
santa maria do para,BR,-1.35,-47.58,5,96,71.49,4.85
lima,PE,-12.04,-77.03,90,87,59.0,5.82
katsuura,JP,35.13,140.3,100,72,82.99,4.0
lompoc,US,34.64,-120.46,90,100,57.2,3.36
dunda,TZ,-8.12,34.25,0,41,75.18,4.18
fevralsk, ,0.0,0.0,0,0,0.0,0.0
dauriya,RU,49.93,116.87,95,51,58.46,16.26
raudeberg,NO,61.99,5.14,99,70,46.4,9.17
bonthe,SL,7.53,-12.51,100,94,70.7,1.01
lata,PT,40.16,-8.33,40,93,63.0,2.24
salmo,CA,49.2,-117.27,56,78,57.99,3.22
capinzal,BR,-27.34,-51.61,100,88,63.5,4.16
ilulissat,GL,69.22,-51.1,100,86,33.8,14.99
umm durman, ,0.0,0.0,0,0,0.0,0.0
nanortalik,GL,60.14,-45.24,60,82,39.42,14.32
uch,FR,45.32,-0.93,80,82,64.4,8.05
lengshuitan,CN,26.41,111.6,100,83,69.58,10.85
fez,MA,34.04,-5.0,94,39,78.8,4.7
sorland,NO,67.67,12.69,75,81,46.4,16.11
eureka,US,40.8,-124.16,93,100,66.0,0.67
chivilcoy,AR,-34.9,-60.02,0,71,50.0,1.99
ponte nova,BR,-20.42,-42.91,0,80,61.74,3.0
tidore, ,0.0,0.0,0,0,0.0,0.0
atar,MR,20.52,-13.05,2,29,88.68,2.04
elizabeth city,US,36.29,-76.25,1,94,71.6,3.36
port macquarie,AU,-31.43,152.92,0,52,79.0,8.59
mae hong son,TH,19.3,97.97,20,59,91.4,2.24
honiton,GB,50.8,-3.19,41,87,57.0,15.99
tavira,PT,37.13,-7.65,75,93,66.2,5.82
dwarka,IN,22.24,68.97,64,72,85.3,11.45
leningradskiy,RU,69.38,178.42,100,93,35.44,17.52
cockburn town,TC,21.46,-71.14,30,78,83.55,16.58
haines junction,CA,60.75,-137.51,100,59,44.6,2.95
yashkul,RU,46.17,45.34,0,32,65.1,2.3
petropavlovsk-kamchatskiy,RU,53.05,158.65,82,45,68.0,8.95
grand gaube,MU,-20.01,57.66,67,61,73.0,13.0
bethel,US,41.37,-73.41,40,100,57.99,4.52
sao felix do xingu,BR,-6.64,-51.99,0,44,71.2,0.74
tessalit,ML,20.2,1.01,0,28,86.18,6.73
vaitupu, ,0.0,0.0,0,0,0.0,0.0
north myrtle beach,US,33.82,-78.68,90,88,78.8,4.7
santiago,CL,-33.46,-70.65,19,81,57.0,4.7
barrow,US,71.29,-156.79,90,87,46.4,6.93
kampene,CD,-3.6,26.67,98,78,75.61,1.68
dodge city,US,37.75,-100.02,1,82,62.6,8.05
markova,UA,48.68,24.41,90,59,66.65,4.99
maneadero,MX,31.72,-116.57,0,76,73.0,1.01
kodinsk,RU,58.69,99.18,30,41,64.98,9.66
sanok,PL,49.56,22.21,100,76,62.01,7.0
longyearbyen,SJ,78.22,15.64,75,59,33.8,9.17
fort nelson,CA,58.81,-122.7,40,93,39.2,2.24
luderitz,NA,-26.65,15.16,0,47,57.69,10.18
batemans bay,AU,-35.72,150.18,91,81,63.0,10.0
havre-saint-pierre,CA,50.23,-63.6,90,100,50.0,9.17
soe,ID,-9.86,124.28,66,31,86.09,8.59
lar gerd, ,0.0,0.0,0,0,0.0,0.0
swan hill,AU,-35.34,143.55,100,54,69.75,14.32
isangel,VU,-19.55,169.27,75,69,78.8,3.36
fernie,CA,49.5,-115.07,5,67,57.2,4.7
aquiraz,BR,-3.9,-38.39,20,74,78.8,19.46
mehamn,NO,71.04,27.85,75,81,42.8,9.17
merauke,ID,-8.47,140.33,65,73,83.5,20.54
herveo,CO,5.08,-75.17,98,86,53.46,2.77
lorengau,PG,-2.02,147.27,17,76,84.18,10.4
egvekinot,RU,66.32,-179.17,100,84,40.01,11.14
yidu,CN,24.16,115.13,93,67,88.21,7.65
ridgecrest,US,35.62,-117.67,0,18,77.0,4.23
gondanglegi,ID,-7.75,112.01,55,36,94.23,12.55
fare,PF,-16.7,-151.02,1,75,79.57,13.89
lao cai,VN,22.48,103.95,99,61,90.34,3.71
wonthaggi,AU,-38.6,145.59,90,76,57.0,8.77
broome,US,42.25,-75.83,1,81,53.6,5.82
narsaq,GL,60.92,-46.05,32,80,41.0,11.41
saldanha,ZA,-33.01,17.94,0,93,53.6,1.12
atambua,ID,-9.11,124.89,93,51,84.76,1.95
namatanai,PG,-3.67,152.43,49,77,83.77,7.61
pandan,PH,14.05,124.17,100,68,85.35,9.17
dawei,MM,14.08,98.2,57,77,84.78,6.55
kavieng,PG,-2.57,150.8,78,77,84.09,9.1
salisbury,GB,51.07,-1.8,8,82,55.4,10.87
aljezur,PT,37.32,-8.8,100,95,61.0,3.0
roald,NO,62.58,6.13,88,81,44.6,9.17
pimentel,PE,-6.84,-79.93,81,93,59.07,9.42
lamar,US,33.67,-95.58,1,78,73.4,6.93
kingman,US,35.19,-114.05,1,17,82.0,6.93
krasnyy chikoy,RU,50.36,108.75,63,50,59.32,5.75
saint anthony,US,45.02,-93.22,1,71,54.0,5.82
olafsvik,IS,64.89,-23.71,98,82,48.72,19.19
bosaso,SO,11.28,49.18,0,44,95.0,20.8
concepcion del oro,MX,24.63,-101.42,54,80,60.94,5.57
ndjole,GA,-0.18,10.76,100,90,73.44,1.7
fortuna,US,40.6,-124.16,90,100,64.99,0.78
monrovia,LR,6.3,-10.8,75,94,73.4,5.59
hasaki,JP,35.73,140.83,75,78,84.0,5.82
kashin,RU,57.36,37.61,100,86,57.07,16.11
rawson,AR,-43.3,-65.1,29,47,55.31,15.97
gat,IL,31.61,34.76,0,81,81.0,2.8
visby,SE,57.64,18.3,40,71,52.0,25.28
gidole,ET,5.65,37.37,60,59,66.33,3.94
toliary, ,0.0,0.0,0,0,0.0,0.0
tank,PK,32.22,70.38,0,24,100.06,2.08
kavaratti,IN,10.57,72.64,40,74,86.0,11.41
perg,AT,48.25,14.63,75,93,63.0,4.7
kaitangata,NZ,-46.28,169.85,100,70,43.0,1.99
hithadhoo,MV,-0.6,73.08,34,76,82.81,10.6
nemuro,JP,43.32,145.57,75,100,68.0,2.24
wanning,CN,18.8,110.4,100,83,85.39,9.19
coquimbo,CL,-29.95,-71.34,1,93,50.0,3.6
margate,GB,51.38,1.39,5,77,61.0,4.0
angoram,PG,-4.06,144.07,76,63,88.23,6.69
saint george,US,37.1,-113.58,1,12,80.6,4.7
lufilufi,WS,-13.87,-171.6,20,79,84.2,8.05
pacific grove,US,36.62,-121.92,20,92,63.0,3.42
haren,DE,52.78,7.23,20,93,51.01,5.82
byron bay,AU,-28.65,153.62,0,56,78.01,14.99
kruisfontein,ZA,-34.0,24.73,1,73,55.0,10.22
atbasar,KZ,51.8,68.33,100,73,51.24,16.89
quincy,US,42.25,-71.0,0,82,63.0,14.99
meyungs, ,0.0,0.0,0,0,0.0,0.0
turka,UA,49.15,23.03,100,93,62.01,8.99
qaqortoq,GL,60.72,-46.03,20,80,41.0,11.41
letterkenny,IE,54.95,-7.73,23,100,53.6,2.24
acapulco,MX,16.86,-99.89,100,83,79.21,3.47
akyab,MM,20.15,92.9,71,69,87.13,5.82
umm lajj,SA,25.02,37.27,0,25,98.29,6.2
berlevag,NO,70.86,29.09,75,81,42.8,9.17
gombong,ID,-7.61,109.51,46,54,86.29,10.29
barcelos,PT,41.54,-8.62,57,88,64.0,3.06
desaguadero,PE,-16.57,-69.04,98,59,43.92,3.67
duz, ,0.0,0.0,0,0,0.0,0.0
shimoda,JP,34.67,138.95,75,78,80.6,11.41
lavrentiya,RU,65.58,-171.0,100,94,42.19,8.9
salalah,OM,17.02,54.09,75,78,82.4,4.7
kibala,TD,9.11,18.35,95,94,73.36,2.42
bohuslav,UA,49.55,30.87,8,41,69.78,12.28
gayeri,BF,12.65,0.49,95,89,72.27,6.71
peniche,PT,39.36,-9.38,97,89,64.0,1.01
emba,KZ,48.83,58.14,100,69,51.53,23.29
uruzgan,AF,32.83,66.0,0,17,74.16,2.53
baghdad,IQ,33.34,44.4,0,40,87.8,6.93
alofi,NU,-19.06,-169.92,98,83,73.4,19.46
los llanos de aridane,ES,28.66,-17.92,40,88,73.4,12.75
sambava,MG,-14.27,50.17,9,64,75.09,11.72
saint-pierre,RE,-21.34,55.48,4,50,75.2,9.17
sao joao da barra,BR,-21.64,-41.05,13,82,71.17,15.61
maba,CN,24.68,113.6,61,63,91.56,1.9
havelock,US,34.88,-76.9,75,83,79.0,8.05
gigmoto,PH,13.78,124.39,100,77,81.5,9.95
litovko,RU,49.24,135.17,100,96,59.18,8.41
isabang,PH,13.96,121.57,100,89,80.01,8.99
oriximina,BR,-1.77,-55.87,68,62,79.2,1.9
tiznit,MA,29.58,-9.5,100,33,81.03,4.16
mount gambier,AU,-37.83,140.77,90,76,55.4,18.34
vestmanna,FO,62.16,-7.17,100,100,51.8,11.41
inta,RU,66.03,60.17,99,74,47.59,16.44
tsihombe, ,0.0,0.0,0,0,0.0,0.0
liancheng,CN,24.05,105.08,96,89,74.16,9.31
goderich,CA,43.75,-81.72,79,80,62.01,16.46
hot springs,US,34.5,-93.06,1,83,75.2,3.09
sept-iles,CA,50.2,-66.38,90,100,46.4,14.63
bejar,ES,40.39,-5.76,100,72,62.6,5.82
humaita,BR,-7.51,-63.02,36,56,78.6,2.62
gobabis,NA,-22.45,18.97,0,33,56.48,9.33
ambilobe,MG,-13.2,49.05,1,38,84.88,6.58
warqla, ,0.0,0.0,0,0,0.0,0.0
milan,IT,45.46,9.19,0,88,71.01,1.12
fort payne,US,34.44,-85.72,90,94,68.0,5.82
lielvarde,LV,56.72,24.81,75,76,53.6,11.41
arman,RU,59.7,150.17,99,79,49.42,7.07
chute-aux-outardes,CA,49.12,-68.4,90,93,51.8,8.05
coihueco,CL,-36.62,-71.83,39,100,44.6,2.24
paamiut,GL,61.99,-49.67,98,81,39.33,4.36
thompson,CA,55.74,-97.86,5,92,24.8,6.38
san juan,AR,-31.54,-68.54,0,36,58.42,4.97
hobyo,SO,5.35,48.53,32,72,81.73,22.17
malwan, ,0.0,0.0,0,0,0.0,0.0
baft,IR,29.23,56.61,17,19,68.41,3.6
enshi,CN,30.3,109.48,100,79,64.74,4.05
shakawe,BW,-18.37,21.85,30,21,71.69,9.53
brooks,CA,50.58,-111.89,0,75,52.0,1.19
tura,IN,25.52,90.22,99,85,81.01,4.83
mokobeng,BW,-23.0,27.67,3,44,74.84,7.05
antibes,FR,43.56,7.13,0,56,72.0,9.17
asosa,ET,10.07,34.53,74,90,69.84,0.27
ternate,ID,0.8,127.4,75,70,82.56,7.14
kashi,CN,39.45,75.98,24,29,75.2,2.24
faya,SA,18.39,42.45,1,32,73.4,3.36
xuddur,SO,4.12,43.89,1,47,82.18,16.44
boljevac,RS,43.83,21.95,65,77,60.8,2.24
george town,MY,5.41,100.34,40,70,89.6,5.82
natal,BR,-5.79,-35.21,40,88,73.4,6.93
itarema,BR,-2.92,-39.92,1,81,77.02,15.37
laguna,US,38.42,-121.42,1,68,71.01,6.93
jesus carranza,MX,17.43,-95.03,100,92,76.3,1.97
san andres,CO,12.58,-81.7,20,94,77.0,2.24
soyo,AO,-6.13,12.37,75,83,75.2,8.59
ancud,CL,-41.87,-73.82,100,83,51.01,4.0
chernyshevskiy,RU,63.01,112.47,61,59,58.64,3.6
poltavka,RU,54.37,71.76,92,62,51.69,17.87
tuy hoa,VN,13.08,109.3,100,86,78.01,14.0
kargopol,RU,61.51,38.95,100,93,45.5,12.3
hofn,IS,64.25,-15.21,100,94,50.31,19.01
tarudant, ,0.0,0.0,0,0,0.0,0.0
mountain home,US,43.13,-115.69,1,36,64.4,3.36
ketchikan,US,55.34,-131.65,1,93,57.2,3.76
manicore,BR,-5.81,-61.3,2,94,77.0,2.8
atagay,RU,55.1,99.39,74,59,63.95,7.2
manbij,SY,36.53,37.95,0,64,71.6,8.32
mananjary,MG,-21.22,48.33,1,65,73.11,7.81
kanniyakumari,IN,8.08,77.57,76,69,84.61,20.78
lagoa,PT,39.05,-27.98,50,72,66.47,14.36
saint-augustin,CA,51.23,-58.65,100,92,52.23,32.7
sao miguel do araguaia,BR,-13.28,-50.16,0,33,76.39,3.2
pangnirtung,CA,66.15,-65.71,64,79,34.61,3.56
zeya,RU,53.75,127.27,99,70,56.77,10.56
vao,NC,-22.67,167.48,23,83,70.14,19.55
touros,BR,-5.2,-35.46,75,94,71.6,4.7
bongandanga,CD,1.5,21.05,91,80,76.46,0.69
phan rang, ,0.0,0.0,0,0,0.0,0.0
shamary,RU,57.34,58.22,100,93,45.48,11.83
pangody,RU,65.85,74.49,99,90,49.96,13.94
tonota,BW,-21.48,27.48,58,47,73.26,8.66
boyolangu,ID,-8.12,111.89,83,55,85.32,11.21
temiscaming,CA,46.72,-79.1,40,93,46.4,12.75
huarmey,PE,-10.07,-78.15,47,87,59.29,6.82
san carlos de bariloche,AR,-41.15,-71.31,40,70,46.4,44.96
svelgen,NO,61.77,5.3,99,70,46.4,9.17
