Cities,Country,Latitude,Longitude,Cloudiness,Date,Humidity,Max Temperature,Wind Speed
tuktoyaktuk,CA,69.45,-133.04,75, ,72,41.0,12.75
castro,BR,-24.79,-50.01,70, ,54,70.93,4.97
nanning,CN,22.82,108.32,93, ,88,80.6,4.47
namatanai,PG,-3.67,152.43,28, ,78,81.01,8.5
ilulissat,GL,69.22,-51.1,75, ,93,39.2,4.7
fukue,JP,32.69,128.84,96, ,86,76.78,10.56
bethel,US,41.37,-73.41,1, ,52,71.01,11.41
tsihombe, ,0.0,0.0,0, ,0,0.0,0.0
ushuaia,AR,-54.8,-68.3,75, ,45,42.8,20.8
torbay,CA,47.67,-52.73,40, ,38,60.01,9.17
rocha,UY,-34.48,-54.33,28, ,85,53.74,7.23
la orilla,MX,17.98,-102.23,7, ,72,84.06,5.75
punta arenas,CL,-53.15,-70.92,75, ,86,37.4,10.29
albany,US,42.6,-73.97,0, ,45,71.01,8.5
deori khas,IN,23.4,79.02,100, ,79,77.38,3.2
chokurdakh,RU,70.63,147.92,100, ,94,36.36,3.51
guerrero negro,MX,27.98,-114.06,0, ,33,89.4,11.97
korla,CN,41.76,86.15,0, ,25,67.75,10.87
teruel,ES,40.67,-0.67,10, ,52,71.6,11.41
port elizabeth,ZA,-33.92,25.57,1, ,77,59.0,25.28
toliary, ,0.0,0.0,0, ,0,0.0,0.0
hobart,AU,-42.88,147.33,75, ,75,44.6,14.99
ancud,CL,-41.87,-73.82,100, ,90,49.6,24.99
abonnema,NG,4.71,6.79,98, ,87,76.17,5.28
cabo san lucas,MX,22.89,-109.91,5, ,55,91.4,8.05
franklin,US,39.97,-83.02,40, ,50,81.0,4.7
georgiyevka,KZ,43.04,74.71,0, ,71,51.8,2.24
santa cruz,BO,-17.8,-63.17,0, ,51,87.8,13.87
saint-philippe,RE,-21.36,55.77,75, ,52,71.6,9.17
buraydah,SA,26.33,43.98,0, ,16,87.8,8.05
kamaishi,JP,39.27,141.88,98, ,81,68.76,3.49
urusha,RU,54.05,122.9,100, ,84,43.83,5.99
nouakchott,MR,18.09,-15.98,0, ,74,86.0,17.22
louisbourg, ,0.0,0.0,0, ,0,0.0,0.0
namibe,AO,-15.2,12.15,0, ,73,62.55,9.01
flinders,AU,-34.58,150.86,11, ,84,66.0,1.01
qianan,CN,44.99,124.06,92, ,90,52.07,14.05
madison heights,US,42.49,-83.11,1, ,53,78.01,10.29
chuy,UY,-33.7,-53.46,54, ,83,57.15,9.17
faanui,PF,-16.48,-151.75,1, ,80,78.64,17.25
kruisfontein,ZA,-34.0,24.73,35, ,69,59.0,8.01
kapaa,US,22.08,-159.32,20, ,66,84.2,11.41
katsuura,JP,35.13,140.3,40, ,88,75.2,5.82
saleaula, ,0.0,0.0,0, ,0,0.0,0.0
avarua,CK,-21.21,-159.78,37, ,65,78.8,8.05
mys shmidta, ,0.0,0.0,0, ,0,0.0,0.0
lata,PT,40.16,-8.33,79, ,74,68.0,7.0
opuwo,NA,-18.06,13.84,0, ,34,57.42,3.42
moerai,PF,-22.43,-151.33,81, ,86,73.69,15.14
ribeira grande,PT,38.52,-28.7,20, ,60,68.0,4.7
lolua, ,0.0,0.0,0, ,0,0.0,0.0
lebu,CL,-37.62,-73.65,47, ,77,53.29,5.61
andros town,BS,24.7,-77.77,40, ,70,86.0,11.41
olafsvik,IS,64.89,-23.71,22, ,83,49.71,21.56
yellowknife,CA,62.46,-114.35,20, ,42,46.0,3.8
kahului,US,20.89,-156.47,20, ,48,87.8,20.8
bahia honda,CU,22.9,-83.16,100, ,74,86.41,6.26
khani,GE,41.96,42.96,40, ,94,71.6,2.24
grindavik,IS,63.84,-22.43,75, ,100,48.2,23.04
okitipupa,NG,6.5,4.78,100, ,97,73.51,3.6
victoria,HK,22.29,114.16,57, ,87,84.0,1.01
mahebourg,MU,-20.41,57.7,75, ,82,68.0,10.29
coquimbo,CL,-29.95,-71.34,2, ,72,59.0,10.29
yuncheng,CN,35.02,110.99,100, ,29,66.6,1.32
leningradskiy,RU,69.38,178.42,100, ,92,37.26,13.85
oga,IT,46.46,10.35,20, ,88,62.6,5.01
talcahuano,CL,-36.72,-73.12,9, ,76,57.2,13.87
bonavista,CA,48.65,-53.11,0, ,63,54.97,9.1
pisco,PE,-13.7,-76.22,57, ,68,68.0,20.8
madimba,TZ,-10.4,40.33,20, ,88,71.6,7.67
qaanaaq,GL,77.48,-69.36,0, ,80,19.83,4.05
mount isa,AU,-20.73,139.5,0, ,58,51.8,1.12
new norfolk,AU,-42.78,147.06,100, ,75,43.0,1.99
andenes,NO,69.31,16.12,75, ,70,42.8,8.05
kaitangata,NZ,-46.28,169.85,95, ,54,55.0,23.0
kavaratti,IN,10.57,72.64,100, ,81,81.45,16.73
necochea,AR,-38.55,-58.74,0, ,83,50.0,4.0
thompson,CA,55.74,-97.86,75, ,41,42.8,19.46
bentiu,SS,9.23,29.83,1, ,85,74.37,2.98
tadine,NC,-21.55,167.88,95, ,78,70.14,19.06
lingdong,CN,46.57,131.15,100, ,94,57.34,6.64
cape town,ZA,-33.93,18.42,75, ,87,57.0,4.7
belen,TR,36.49,36.22,20, ,83,80.6,12.75
batemans bay,AU,-35.72,150.18,99, ,79,54.0,4.99
pemba,MZ,-12.97,40.52,75, ,83,75.2,6.93
champerico,GT,14.3,-91.92,40, ,58,87.8,11.41
nagyoroszi,HU,48.01,19.09,100, ,79,73.0,2.42
airai,TL,-8.93,125.41,91, ,70,55.72,1.7
nome,US,64.5,-165.41,90, ,87,48.2,18.34
sarai,RU,53.75,41.02,7, ,79,48.06,2.33
sorland,NO,67.67,12.69,75, ,81,42.8,2.24
albania,AL,41.0,20.0,8, ,73,69.8,4.7
yeppoon,AU,-23.13,150.73,6, ,88,62.6,6.93
vestmannaeyjar,IS,63.44,-20.27,100, ,90,51.8,29.55
lere,NG,10.39,8.57,91, ,94,69.53,1.19
llata,PE,-9.42,-76.78,100, ,63,56.71,6.78
quatre cocos,MU,-20.21,57.76,75, ,82,68.0,10.29
kavieng,PG,-2.57,150.8,39, ,82,82.4,16.44
navapur, ,0.0,0.0,0, ,0,0.0,0.0
jamestown,US,42.1,-79.24,1, ,56,72.0,10.29
comodoro rivadavia,AR,-45.87,-67.5,100, ,50,57.2,9.17
saldanha,ZA,-33.01,17.94,100, ,87,57.2,5.82
rio gallegos,AR,-51.62,-69.22,75, ,52,44.6,19.46
oron,NG,4.83,8.23,99, ,91,74.68,4.59
puerto ayora,EC,-0.74,-90.35,20, ,61,77.0,13.87
banjar,ID,-8.19,114.97,40, ,100,77.0,3.36
adrar,MR,20.5,-10.07,0, ,11,101.35,9.42
husavik,IS,66.04,-17.34,75, ,62,51.8,25.28
rio de janeiro,BR,-22.9,-43.21,25, ,74,84.2,8.05
severo-kurilsk,RU,50.68,156.12,83, ,91,55.18,10.25
makakilo city,US,21.35,-158.09,1, ,54,84.2,8.05
faya,SA,18.39,42.45,58, ,77,71.6,3.33
upernavik,GL,72.79,-56.15,100, ,89,31.3,7.94
gigmoto,PH,13.78,124.39,100, ,86,79.59,11.5
vardo,NO,70.37,31.11,40, ,86,41.0,4.7
mungeli,IN,22.07,81.68,89, ,80,79.14,2.57
honiara,SB,-9.43,159.95,75, ,100,75.2,3.36
dikson,RU,73.51,80.55,85, ,97,41.32,2.46
maloshuyka, ,0.0,0.0,0, ,0,0.0,0.0
vanimo,PG,-2.67,141.3,86, ,82,78.53,5.03
malakal,SS,9.53,31.66,13, ,93,72.99,1.99
barrhead,GB,55.8,-4.39,90, ,81,54.0,11.41
satitoa, ,0.0,0.0,0, ,0,0.0,0.0
ketchikan,US,55.34,-131.65,20, ,72,62.6,8.05
vigrestad,NO,58.57,5.7,0, ,87,48.99,6.78
vredendal,ZA,-31.67,18.5,0, ,85,52.36,1.61
kirakira,SB,-10.45,161.92,67, ,80,81.64,17.16
ossora,RU,59.24,163.07,80, ,65,47.26,2.42
chagda, ,0.0,0.0,0, ,0,0.0,0.0
olinda,BR,-8.01,-34.86,75, ,69,78.8,14.99
port alfred,ZA,-33.59,26.89,0, ,70,58.82,15.26
candabong,PH,9.73,124.54,100, ,86,77.95,3.36
broome,US,42.25,-75.83,20, ,52,71.01,9.17
kariba,ZW,-16.52,28.8,1, ,37,77.5,5.91
salinas,US,36.68,-121.66,1, ,44,81.0,4.7
pevek,RU,69.7,170.31,70, ,89,37.17,13.76
chara,RU,56.91,118.26,72, ,74,39.51,4.23
barrow,US,71.29,-156.79,90, ,93,39.2,11.41
lompoc,US,34.64,-120.46,1, ,60,75.2,14.99
mogadishu,SO,2.04,45.34,20, ,83,77.67,12.68
klaksvik,FO,62.23,-6.59,100, ,93,48.2,14.99
tukrah,LY,32.53,20.58,15, ,85,75.33,6.55
saint-pierre,RE,-21.34,55.48,75, ,52,68.0,9.17
khatanga,RU,71.97,102.5,97, ,85,47.21,5.03
belogorsk,RU,50.92,128.46,100, ,93,57.69,12.5
luis correia,BR,-2.88,-41.67,0, ,75,80.15,16.13
bela vista,BR,-22.11,-56.52,49, ,25,92.08,3.29
hasaki,JP,35.73,140.83,40, ,100,70.0,5.82
palu,ID,-0.89,119.87,99, ,80,74.5,2.24
terney,RU,45.05,136.61,100, ,89,58.44,1.59
moindou,NC,-21.69,165.68,90, ,88,68.0,8.05
hirado,JP,33.36,129.55,90, ,84,75.0,7.61
glomfjord,NO,66.82,13.97,40, ,75,46.4,2.24
bengkulu,ID,-3.8,102.27,18, ,88,73.54,4.59
duluth,US,46.78,-92.11,40, ,36,66.2,13.87
nalut,LY,30.33,10.85,0, ,45,74.43,16.31
lasa,IT,46.62,10.7,20, ,88,62.6,4.81
noumea,NC,-22.28,166.46,90, ,88,72.0,8.05
port moresby,PG,-9.44,147.18,40, ,100,75.2,3.36
coihaique,CL,-45.58,-72.07,90, ,93,39.2,5.82
sitka,US,57.05,-135.33,20, ,66,55.4,4.27
ucluelet,CA,48.93,-125.55,90, ,82,69.01,4.7
eyrarbakki,IS,63.86,-21.15,90, ,87,50.0,24.16
lang son,VN,21.83,106.73,98, ,92,74.12,0.76
ende,ID,-8.84,121.66,82, ,74,73.76,3.29
srednekolymsk,RU,67.45,153.68,100, ,85,39.81,7.4
guatire,VE,10.48,-66.54,46, ,63,80.01,3.98
college,US,64.86,-147.8,90, ,81,50.0,4.7
kismayo,SO,-0.36,42.55,18, ,82,77.32,12.8
yulara,AU,-25.24,130.99,38, ,31,60.8,2.24
vila velha,BR,-20.33,-40.29,21, ,65,79.0,13.87
dubrovnik,HR,42.65,18.09,76, ,34,82.4,5.82
half moon bay,US,37.46,-122.43,1, ,69,78.01,16.11
chabahar,IR,25.29,60.64,0, ,88,78.8,7.45
mmathubudukwane,BW,-24.6,26.43,42, ,7,77.0,4.7
acari,PE,-15.43,-74.62,40, ,47,71.31,8.77
old shinyanga,TZ,-3.55,33.4,89, ,50,74.19,4.88
kuryk,KZ,43.2,51.65,4, ,54,63.43,6.17
roald,NO,62.58,6.13,40, ,75,46.4,5.82
ahuimanu,US,21.44,-157.84,40, ,58,84.2,11.41
port hedland,AU,-20.32,118.57,0, ,78,71.6,9.17
coswig,DE,51.13,13.58,99, ,53,73.4,4.7
atar,MR,20.52,-13.05,23, ,14,100.63,4.0
mehamn,NO,71.04,27.85,75, ,87,44.6,6.93
lavrentiya,RU,65.58,-171.0,100, ,90,44.8,1.99
sioux lookout,CA,50.1,-91.92,40, ,39,48.2,11.41
san patricio,MX,19.22,-104.7,75, ,75,89.6,13.87
mergui, ,0.0,0.0,0, ,0,0.0,0.0
henties bay,NA,-22.12,14.28,0, ,85,54.0,6.22
narsaq,GL,60.92,-46.05,100, ,81,44.6,10.29
tasiilaq,GL,65.61,-37.64,100, ,86,39.2,4.7
urdoma,RU,61.75,48.54,25, ,96,37.36,4.92
kihei,US,20.79,-156.47,20, ,48,87.8,20.8
stromness,GB,58.97,-3.3,0, ,81,48.2,9.17
praia da vitoria,PT,38.73,-27.07,75, ,77,66.2,17.98
illoqqortoormiut, ,0.0,0.0,0, ,0,0.0,0.0
constitucion,CL,-35.33,-72.42,8, ,73,58.3,15.01
port lincoln,AU,-34.73,135.87,100, ,96,56.95,11.7
barentsburg, ,0.0,0.0,0, ,0,0.0,0.0
brownsville,US,25.9,-97.5,90, ,70,86.0,12.75
antsirabe,MG,-19.85,47.03,78, ,52,58.41,2.62
taltal,CL,-25.4,-70.48,22, ,60,61.41,7.92
thano bula khan, ,0.0,0.0,0, ,0,0.0,0.0
bangolo,CI,7.01,-7.47,84, ,97,71.91,3.24
banda aceh,ID,5.56,95.32,23, ,70,79.38,13.15
marcona, ,0.0,0.0,0, ,0,0.0,0.0
nyurba,RU,63.28,118.33,66, ,86,43.16,3.02
sarangani,PH,5.4,125.46,100, ,78,80.78,10.09
sibu,MY,2.3,111.82,40, ,94,71.6,11.41
attawapiskat, ,0.0,0.0,0, ,0,0.0,0.0
nanortalik,GL,60.14,-45.24,100, ,87,40.87,17.6
nanma,CN,36.18,118.16,100, ,77,66.0,3.31
bundaberg,AU,-24.85,152.35,5, ,100,63.0,6.93
araouane,ML,18.9,-3.53,21, ,11,102.04,19.82
manaure,CO,11.78,-72.44,40, ,70,89.6,16.11
sayat,TM,38.78,63.88,0, ,42,66.2,6.93
panlaitan,PH,12.12,119.85,100, ,85,81.01,19.33
sao filipe,CV,14.9,-24.5,0, ,78,82.02,6.85
itaqui,BR,-29.13,-56.55,84, ,90,62.42,4.43
shingu,JP,33.73,135.98,100, ,91,71.67,3.02
atuona,PF,-9.8,-139.03,0, ,73,78.48,20.24
wewak,PG,-3.55,143.63,100, ,82,79.61,7.67
petropavlovsk-kamchatskiy,RU,53.05,158.65,10, ,93,44.6,4.47
sur,OM,22.57,59.53,69, ,63,83.01,10.38
concepcion del uruguay,AR,-32.48,-58.24,11, ,41,71.01,4.0
shieli,KZ,44.17,66.75,70, ,44,61.32,13.4
huarmey,PE,-10.07,-78.15,1, ,67,66.83,10.98
lucatan, ,0.0,0.0,0, ,0,0.0,0.0
los llanos de aridane,ES,28.66,-17.92,100, ,83,77.0,11.41
fayaoue,NC,-20.65,166.53,44, ,77,73.24,22.3
ahipara,NZ,-35.17,173.17,15, ,78,58.57,6.87
kodiak,US,57.79,-152.41,99, ,81,52.18,3.8
cayenne,GF,4.93,-52.33,100, ,100,73.4,4.7
clyde river,CA,70.47,-68.59,75, ,86,37.4,13.29
port-gentil,GA,-0.72,8.78,75, ,88,77.0,15.46
oranjemund,NA,-28.55,16.43,0, ,78,55.58,8.79
polunochnoye,RU,60.87,60.42,100, ,95,47.59,13.87
darnah,LY,32.77,22.64,0, ,77,77.52,9.22
coari,BR,-4.08,-63.14,98, ,45,91.58,2.21
dunedin,NZ,-45.87,170.5,100, ,51,57.99,28.01
eenhana,NA,-17.47,16.33,0, ,13,69.8,3.36
bathsheba,BB,13.22,-59.52,20, ,62,87.8,13.87
linqiong,CN,30.42,103.46,40, ,100,66.2,2.24
inhambane,MZ,-23.86,35.38,20, ,94,73.4,16.11
ust-maya,RU,60.42,134.53,0, ,92,36.5,1.95
calabozo,VE,8.92,-67.43,91, ,84,84.04,3.89
sinnamary,GF,5.38,-52.95,96, ,85,80.69,10.89
salalah,OM,17.02,54.09,40, ,88,80.6,4.7
kedrovyy,RU,56.17,91.82,100, ,100,42.8,3.06
karaul, ,0.0,0.0,0, ,0,0.0,0.0
nago,JP,26.59,127.98,1, ,88,82.4,4.7
dawlatabad,AF,36.41,64.91,0, ,32,61.14,2.26
mastic beach,US,40.77,-72.85,20, ,53,71.6,9.17
zelenogradsk,RU,54.96,20.48,99, ,88,62.6,8.95
okhotsk,RU,59.38,143.3,0, ,76,45.01,15.21
basoko,CD,1.24,23.62,99, ,83,72.91,1.61
anadyr,RU,64.75,177.48,75, ,93,41.0,6.71
fare,PF,-16.7,-151.02,5, ,79,79.34,18.95
natitingou,BJ,10.3,1.38,20, ,83,73.4,3.36
san roque,ES,36.21,-5.38,100, ,94,73.4,14.99
grand gaube,MU,-20.01,57.66,72, ,71,66.99,3.0
beringovskiy,RU,63.05,179.32,100, ,82,46.71,13.44
xenia,US,39.68,-83.93,1, ,34,80.01,3.36
asau,RO,46.43,26.4,0, ,93,55.0,2.95
iqaluit,CA,63.75,-68.51,40, ,59,37.4,4.7
chengmai, ,0.0,0.0,0, ,0,0.0,0.0
saskylakh,RU,71.92,114.08,96, ,80,48.36,6.33
kishi,NG,9.08,3.85,99, ,95,72.25,7.78
souillac,MU,-20.52,57.52,75, ,82,68.0,10.29
shimoda,JP,34.67,138.95,59, ,96,64.99,2.55
oriximina,BR,-1.77,-55.87,56, ,39,94.05,3.87
mazagao,BR,-0.12,-51.29,20, ,63,91.4,8.05
coruripe,BR,-10.13,-36.18,1, ,77,73.0,8.23
tromso,NO,69.65,18.96,75, ,70,44.6,14.99
ngukurr, ,0.0,0.0,0, ,0,0.0,0.0
bedesa,ET,8.9,40.78,72, ,67,66.09,7.83
cocachacra,PE,-17.09,-71.76,67, ,73,63.0,6.51
pulaski,US,34.77,-92.3,75, ,55,87.8,8.05
jiuquan,CN,39.74,98.52,0, ,37,52.32,1.95
kyzyl-suu,KG,42.34,78.0,0, ,39,56.71,7.52
hamilton,US,39.18,-84.53,1, ,44,81.0,3.36
kondinskoye,RU,59.65,67.41,95, ,96,46.0,7.05
tyssedal,NO,60.12,6.56,61, ,69,50.0,1.99
acapulco,MX,16.86,-99.89,75, ,79,84.2,4.7
plainview,US,40.78,-73.47,75, ,56,72.0,11.41
svetlogorsk,BY,52.63,29.73,92, ,72,62.42,8.88
kota belud,MY,6.35,116.43,40, ,94,75.2,11.41
murgab,TM,37.5,61.97,0, ,46,69.8,6.93
hofn,IS,64.25,-15.21,90, ,87,50.0,18.34
vanavara,RU,60.34,102.28,0, ,84,41.5,3.51
donskoye,RU,45.46,41.97,0, ,44,57.2,8.95
fortuna,US,40.6,-124.16,75, ,61,81.0,10.29
ust-kulom,RU,61.69,53.69,99, ,80,44.1,9.44
xam nua,LA,20.42,104.04,83, ,91,67.8,1.74
udachnyy,RU,66.42,112.4,79, ,57,48.2,2.24
malatya,TR,38.5,38.0,0, ,39,62.6,4.7
sistranda,NO,63.73,8.83,40, ,66,48.2,14.99
adrian,US,41.9,-84.04,1, ,50,77.0,8.05
ixtapa,MX,20.7,-105.2,90, ,88,81.0,3.36
camacupa,AO,-12.02,17.48,0, ,32,68.45,2.71
longyearbyen,SJ,78.22,15.64,75, ,64,37.4,17.22
itoman,JP,26.12,127.67,20, ,83,82.4,6.93
mount gambier,AU,-37.83,140.77,75, ,93,51.8,4.7
concarneau,FR,47.88,-3.92,0, ,77,68.0,6.93
mahadday weyne, ,0.0,0.0,0, ,0,0.0,0.0
whitehorse,CA,60.72,-135.05,75, ,41,60.01,3.36
ponta delgada,PT,37.73,-25.67,40, ,82,64.4,12.75
cherskiy,RU,68.75,161.3,100, ,87,40.62,13.27
norman wells,CA,65.28,-126.83,90, ,61,46.4,9.17
saint-georges,GD,12.06,-61.75,20, ,70,89.6,17.22
baykalsk,RU,51.51,104.15,0, ,63,49.24,4.34
pangai,TO,-19.8,-174.35,75, ,69,75.2,14.99
jiblah,YE,13.92,44.15,2, ,69,67.1,1.45
georgetown,MY,5.41,100.34,20, ,88,78.8,5.37
genhe,CN,50.78,121.52,100, ,92,48.09,9.64
umm lajj,SA,25.02,37.27,0, ,35,90.99,6.42
bubaque,GW,11.28,-15.83,4, ,84,80.28,10.65
the pas,CA,53.83,-101.25,20, ,36,44.6,19.46
tiksi,RU,71.69,128.87,98, ,73,44.1,8.52
mendoza,AR,-32.89,-68.83,0, ,19,75.2,2.24
halalo, ,0.0,0.0,0, ,0,0.0,0.0
byron bay,AU,-28.65,153.62,40, ,100,57.99,3.98
graaff-reinet,ZA,-32.25,24.53,0, ,39,53.01,1.01
kutum,SD,14.2,24.67,42, ,32,81.09,7.7
arcata,US,40.87,-124.08,40, ,73,75.99,6.93
geraldton,AU,-28.77,114.6,0, ,62,55.4,13.87
jeremie,HT,18.65,-74.12,100, ,72,83.82,2.91
mindelo,CV,16.89,-24.98,90, ,74,82.4,8.05
nizhneyansk, ,0.0,0.0,0, ,0,0.0,0.0
andevoranto, ,0.0,0.0,0, ,0,0.0,0.0
tautira,PF,-17.73,-149.15,20, ,65,82.4,5.82
pakwach, ,0.0,0.0,0, ,0,0.0,0.0
codrington,AU,-38.27,141.97,100, ,95,51.24,6.98
usinsk,RU,65.99,57.53,97, ,82,42.57,12.39
isangel,VU,-19.55,169.27,98, ,74,73.65,15.39
reefton, ,0.0,0.0,0, ,0,0.0,0.0
cairns,AU,-16.92,145.77,75, ,94,71.6,11.41
novoyegoryevskoye, ,0.0,0.0,0, ,0,0.0,0.0
kenai,US,60.55,-151.26,90, ,81,54.0,6.93
sao joao da barra,BR,-21.64,-41.05,0, ,65,78.8,20.8
te anau,NZ,-45.42,167.72,100, ,88,46.67,7.49
sibolga,ID,1.74,98.78,99, ,82,76.86,1.95
beisfjord,NO,68.38,17.6,40, ,80,41.0,13.87
shitkino,RU,56.37,98.35,20, ,82,46.4,7.0
bonfim,BR,3.08,-59.95,86, ,56,88.7,3.02
yanan, ,0.0,0.0,0, ,0,0.0,0.0
esperance,AU,-33.87,121.9,75, ,100,50.0,14.99
kostomuksha,RU,64.57,30.58,100, ,95,44.55,17.85
piryion, ,0.0,0.0,0, ,0,0.0,0.0
uvalde,US,29.37,-99.77,90, ,69,86.0,10.29
bijie,CN,27.31,105.29,100, ,95,60.69,4.18
zhigansk,RU,66.77,123.37,2, ,82,39.85,5.41
riyadh,SA,24.69,46.72,0, ,25,86.0,2.73
nemuro,JP,43.32,145.57,100, ,85,65.64,11.05
camocim,BR,-2.9,-40.84,1, ,69,81.18,18.3
hervey bay,AU,-25.3,152.85,2, ,91,60.01,4.0
moree,AU,-29.47,149.85,0, ,76,57.2,11.41
yurla,RU,59.33,54.32,100, ,90,45.57,12.86
bambanglipuro,ID,-7.95,110.28,6, ,89,71.53,2.04
allapalli,IN,19.42,80.07,50, ,94,77.22,2.66
muncar,ID,-8.43,114.33,13, ,88,72.23,0.69
cienfuegos,CU,22.15,-80.44,75, ,63,91.4,11.41
dudinka,RU,69.41,86.18,11, ,66,51.8,11.18
touros,BR,-5.2,-35.46,20, ,74,78.8,10.29
hornepayne,CA,49.21,-84.77,77, ,65,43.11,11.68
cocal,BR,-28.62,-49.35,100, ,85,67.93,2.08
tarauaca,BR,-8.16,-70.77,61, ,41,92.66,1.25
turukhansk,RU,65.82,87.98,0, ,71,52.34,17.9
palimbang,PH,6.21,124.19,100, ,85,76.57,6.76
dwarahat,IN,29.78,79.43,14, ,94,65.01,0.83
mirnyy,RU,62.54,113.96,96, ,75,46.4,4.47
kerema,PG,-7.96,145.78,92, ,89,77.74,4.29
kokkola,FI,63.84,23.13,90, ,93,48.0,31.09
barsovo,RU,61.17,73.17,75, ,100,50.0,6.71
akdagmadeni,TR,39.66,35.88,0, ,71,54.91,3.27
phangnga,TH,8.45,98.53,40, ,94,77.0,1.12
talnakh,RU,69.49,88.4,11, ,66,51.8,11.18
toulepleu, ,0.0,0.0,0, ,0,0.0,0.0
palabuhanratu, ,0.0,0.0,0, ,0,0.0,0.0
saint-ambroise,CA,48.55,-71.33,90, ,77,60.8,6.93
yumbo,CO,3.58,-76.49,40, ,58,82.4,9.17
bermeo,ES,43.42,-2.72,100, ,94,73.99,3.36
isla mujeres,MX,21.23,-86.73,40, ,66,89.6,8.05
bogorodskoye,RU,56.55,37.88,61, ,72,48.52,9.51
calama,CL,-22.47,-68.93,0, ,7,69.8,23.04
caravelas,BR,-17.71,-39.25,0, ,75,71.35,5.32
tuatapere,NZ,-46.13,167.68,100, ,82,51.01,11.01
rotterdam,NL,51.92,4.48,3, ,87,63.0,12.75
morant bay,JM,17.88,-76.41,40, ,83,82.4,6.93
pangnirtung,CA,66.15,-65.71,40, ,60,39.2,9.17
carutapera,BR,-1.2,-46.02,18, ,74,80.8,9.31
asfi,MA,32.3,-9.24,100, ,65,74.57,2.19
san luis,AR,-33.3,-66.34,0, ,21,72.27,6.73
kamenka,RU,51.32,42.77,0, ,77,46.0,3.2
lorengau,PG,-2.02,147.27,100, ,79,82.6,13.38
kamennomostskiy,RU,44.3,40.19,0, ,63,58.1,4.85
mahina,PF,-17.51,-149.49,20, ,65,82.4,5.82
breves,BR,-1.68,-50.48,3, ,43,90.23,4.52
hambantota,LK,6.12,81.12,100, ,82,80.46,16.08
mpanda,TZ,-6.37,31.04,53, ,44,74.05,2.75
mocuba,MZ,-16.84,36.99,0, ,59,76.96,4.03
lokosovo,RU,61.13,74.82,100, ,97,46.08,6.22
atbasar,KZ,51.8,68.33,83, ,58,48.33,18.41
yar-sale,RU,66.83,70.83,100, ,84,46.99,10.27
babu,CN,24.42,111.52,84, ,85,76.66,1.14
tezu,IN,27.92,96.17,99, ,86,74.08,2.17
dhangadhi,NP,28.71,80.6,15, ,81,79.23,2.77
port blair,IN,11.67,92.75,72, ,78,81.79,15.73
ambovombe,MG,-25.17,46.08,2, ,94,67.5,4.27
tulsa,US,36.1,-95.9,40, ,45,88.0,5.82
nabire,ID,-3.37,135.48,95, ,88,74.71,4.27
floro,NO,61.6,5.03,66, ,61,50.0,9.17
rundu,NA,-17.93,19.77,11, ,23,67.82,4.41
